text_id,text,label,source_type,created_at,clean_text
red-0051,A public message threatens to publish private customer data from DataPilot tonight.,red,support_thread,2026-01-28,a public message threatens to publish private customer data from datapilot tonight
green-0099,The release notes describe visual improvements and accessibility fixes.,green,review,2026-01-07,the release notes describe visual improvements and accessibility fixes
red-0060,Community moderators warn that attackers are actively bypassing two-factor checks on CloudDesk.,red,support_thread,2026-01-07,community moderators warn that attackers are actively bypassing two factor checks on clouddesk
red-0135,A public message threatens to publish private customer data from DataPilot tonight.,red,public_post,2026-03-22,a public message threatens to publish private customer data from datapilot tonight
green-0052,A public article compares pricing options for several productivity platforms.,green,news,2026-02-16,a public article compares pricing options for several productivity platforms
green-0167,A blog post explains basic account settings and profile customization.,green,support_thread,2026-02-28,a blog post explains basic account settings and profile customization
orange-0137,A support forum shows a sudden increase in complaints about blocked accounts on MarketBoard.,orange,review,2026-04-28,a support forum shows a sudden increase in complaints about blocked accounts on marketboard
red-0126,Community moderators warn that attackers are actively bypassing two-factor checks on CloudDesk.,red,news,2026-02-28,community moderators warn that attackers are actively bypassing two factor checks on clouddesk
green-0017,A public article compares pricing options for several productivity platforms.,green,support_thread,2026-03-12,a public article compares pricing options for several productivity platforms
red-0097,A paste site appears to expose internal tokens connected to PayLink environments.,red,public_post,2026-04-29,a paste site appears to expose internal tokens connected to paylink environments
red-0184,Users report confirmed malware links sent through official-looking BrightPanel support messages.,red,support_thread,2026-04-06,users report confirmed malware links sent through official looking brightpanel support messages
green-0132,Users discuss preferred dashboard layouts and reporting exports in MarketBoard.,green,support_thread,2026-01-16,users discuss preferred dashboard layouts and reporting exports in marketboard
red-0086,Multiple reports describe unauthorized withdrawals after account takeover on OpenGate.,red,review,2026-01-27,multiple reports describe unauthorized withdrawals after account takeover on opengate
orange-0110,Some customers mention suspicious emails that look similar to BrightPanel notifications.,orange,forum,2026-03-09,some customers mention suspicious emails that look similar to brightpanel notifications
green-0081,The release notes describe visual improvements and accessibility fixes.,green,forum,2026-04-16,the release notes describe visual improvements and accessibility fixes
