text_id,text,label,source_type,created_at
green-0178,A customer shares a positive onboarding experience with the MarketBoard support team.,green,forum,2026-04-15
green-0063,A user asks how to change notification settings in the MarketBoard mobile app.,green,review,2026-04-25
red-0011,A public message threatens to publish private customer data from Northstar tonight.,red,news,2026-04-04
orange-0088,A community member asks if recent security warnings from MarketBoard are legitimate.,orange,news,2026-03-25
orange-0060,Some customers mention suspicious emails that look similar to PayLink notifications.,orange,forum,2026-01-23
green-0053,The company announced a new interface update for PayLink with minor usability changes.,green,news,2026-03-28
green-0042,Users discuss preferred dashboard layouts and reporting exports in CloudDesk.,green,news,2026-04-04
orange-0188,Some customers mention suspicious emails that look similar to CloudDesk notifications.,orange,support_thread,2026-02-09
green-0100,A blog post explains basic account settings and profile customization.,green,support_thread,2026-02-06
orange-0184,Several users report unusual login prompts when trying to access OpenGate.,orange,review,2026-01-09
orange-0106,Some customers mention suspicious emails that look similar to MarketBoard notifications.,orange,public_post,2026-04-13
orange-0200,"Users describe repeated password reset messages, but no confirmed breach is reported.",orange,news,2026-02-09
green-0125,A public article compares pricing options for several productivity platforms.,green,news,2026-03-26
red-0172,Several users claim that MarketBoard access was compromised after a suspicious reset campaign.,red,news,2026-04-23
orange-0003,Several users report unusual login prompts when trying to access CloudDesk.,orange,public_post,2026-04-08
green-0009,A blog post explains basic account settings and profile customization.,green,forum,2026-04-30
red-0188,A forum thread shares administrator passwords related to SecureHub and asks others to test them.,red,news,2026-01-28
green-0122,A blog post explains basic account settings and profile customization.,green,public_post,2026-02-23
green-0144,The release notes describe visual improvements and accessibility fixes.,green,forum,2026-03-24
orange-0040,A support forum shows a sudden increase in complaints about blocked accounts on MarketBoard.,orange,support_thread,2026-04-18
red-0066,Community moderators warn that attackers are actively bypassing two-factor checks on PayLink.,red,review,2026-01-25
red-0073,A paste site appears to expose internal tokens connected to OpenGate environments.,red,review,2026-04-30
orange-0167,"Users describe repeated password reset messages, but no confirmed breach is reported.",orange,public_post,2026-03-19
red-0180,Community moderators warn that attackers are actively bypassing two-factor checks on DataPilot.,red,forum,2026-04-12
green-0084,A customer shares a positive onboarding experience with the Northstar support team.,green,support_thread,2026-03-05
green-0026,A user asks how to change notification settings in the Northstar mobile app.,green,news,2026-02-19
orange-0194,A growing thread complains about delayed account verification on MarketBoard.,orange,forum,2026-04-19
red-0120,A paste site appears to expose internal tokens connected to OpenGate environments.,red,news,2026-03-01
red-0177,A public message threatens to publish private customer data from Northstar tonight.,red,public_post,2026-03-08
green-0175,A blog post explains basic account settings and profile customization.,green,public_post,2026-02-28
green-0142,The weekly newsletter highlights upcoming product webinars and customer stories.,green,news,2026-03-25
orange-0104,A public review mentions unexpected payment declines and asks whether others saw the same issue.,orange,support_thread,2026-04-11
red-0122,A forum thread shares administrator passwords related to CloudDesk and asks others to test them.,red,support_thread,2026-02-06
red-0149,Public post mentions leaked BrightPanel credentials and active exploitation attempts.,red,support_thread,2026-03-17
green-0150,A user asks how to change notification settings in the OpenGate mobile app.,green,news,2026-02-06
green-0057,The weekly newsletter highlights upcoming product webinars and customer stories.,green,news,2026-03-08
green-0060,A blog post explains basic account settings and profile customization.,green,public_post,2026-01-16
orange-0172,A support forum shows a sudden increase in complaints about blocked accounts on Northstar.,orange,support_thread,2026-02-15
green-0098,A blog post explains basic account settings and profile customization.,green,support_thread,2026-01-28
green-0067,The release notes describe visual improvements and accessibility fixes.,green,support_thread,2026-04-13
red-0106,A public message threatens to publish private customer data from OpenGate tonight.,red,support_thread,2026-03-24
green-0185,The weekly newsletter highlights upcoming product webinars and customer stories.,green,public_post,2026-01-16
red-0020,A paste site appears to expose internal tokens connected to MarketBoard environments.,red,support_thread,2026-04-29
red-0134,Community moderators warn that attackers are actively bypassing two-factor checks on DataPilot.,red,public_post,2026-02-03
green-0148,The weekly newsletter highlights upcoming product webinars and customer stories.,green,forum,2026-04-23
orange-0095,"Users describe repeated password reset messages, but no confirmed breach is reported.",orange,public_post,2026-02-26
red-0110,A paste site appears to expose internal tokens connected to OpenGate environments.,red,review,2026-04-04
green-0180,The release notes describe visual improvements and accessibility fixes.,green,forum,2026-03-11
